"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTBL2",0.134809959867615,4.62100702133117,3.22446291279745,0.00774414858798124,0.023180186642304,-3.94101308990774
"BCAS1",-0.260860566916028,5.66666166972339,-3.22298024855736,0.00776496988626344,0.0232327113333945,-3.9437274682683
"MAPK13",-0.157258680807601,8.99127272583664,-3.22162025741465,0.00778411834083915,0.0232801887336432,-3.946217214527
"FAM76B",-0.136443823024914,7.3975519382003,-3.22037535209405,0.00780168834537925,0.0233229074082378,-3.94849623070053
"MEPCE",-0.169771586168447,7.70641604237318,-3.21844408572153,0.00782902487488321,0.0233853729325117,-3.9520316708961
"PHF14",-0.15475034607975,8.56889921676494,-3.21843358689262,0.00782917374773113,0.0233853729325117,-3.9520508901338
"CRAT",0.130142802106233,9.42794793939571,3.21613539117567,0.00786183116345798,0.0234653928554398,-3.95625791506437
"USP36",-0.201739370070956,7.77856094137922,-3.21587778038377,0.00786550040942226,0.0234653928554398,-3.95672948279702
"RHEB",-0.125568289690419,9.83577021281221,-3.2158509466878,0.00786588271144023,0.0234653928554398,-3.95677860293993
"JADE3",-0.21202009187884,5.00810692777991,-3.21449804017812,0.00788518210662094,0.0235115035126231,-3.95925512685754
"SLC25A10",-0.125463126247015,8.84426376422983,-3.21430321109183,0.00788796531824089,0.0235115035126231,-3.95961176155598
"PITHD1",-0.168046991976688,7.35190257482319,-3.21153446589744,0.00792762567148538,0.0236197982328009,-3.96467983897501
"PNKP",-0.119099967850307,9.39934772967471,-3.2095797168431,0.00795574766853988,0.0236894023481325,-3.96825780216999
"COG5",0.214959992266408,8.38743899961151,3.20944682886568,0.00795766312497505,0.0236894023481325,-3.9685010358275
"RABL3",-0.263406970710966,8.39722201070475,-3.20839322346501,0.00797286640550858,0.0237247098028907,-3.97042950202271
"POLDIP2",-0.116719286988911,8.64595380196861,-3.2075067155025,0.00798568129373968,0.0237528835463833,-3.97205209733201
"SCARB1",-0.149497791449704,7.64883525432907,-3.2069003120086,0.00799445915217661,0.0237669710958424,-3.97316199839156
"ANGEL1",-0.237499838840722,4.85794721732541,-3.20671695239041,0.00799711525671012,0.0237669710958424,-3.97349759967259
"ARMC1",-0.166968408417173,7.16857493105811,-3.20606126611451,0.00800662068794503,0.0237852603693369,-3.97469768790062
"APC",-0.224895347042122,6.03431024261984,-3.20109301023794,0.00807901783064844,0.0239902885121807,-3.98379057530638
"GOLGA2",-0.152224831447942,9.89192552881002,-3.19883325127558,0.00811216584420452,0.0240786453351399,-3.98792614025843
"YIPF5",0.145511255895255,7.63332364405245,3.19715451516517,0.00813688003599634,0.0241419053576363,-3.99099828170149
"PITPNM3",0.291595899067066,5.91905038205211,3.19636291319945,0.00814856035318988,0.0241664575121557,-3.9924469094472
